simTrack 0.031527 0.001693 0.146334 4.418970 -8.967553 4.920586 -1 pt=9.997215 trkIdx=0 algo=13
simHit 24.445898 10.726131 9.861984 26.695539 0.361499 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit 32.479916 14.093667 12.203465 35.405880 0.338190 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit 36.735714 15.820100 13.474010 39.997353 0.330806 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit 47.269676 20.000881 16.528719 51.326967 0.316707 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit 53.912449 22.556824 18.474033 58.441102 0.311072 0.034228 0.000077 0.000000 0.000000 0.000000 0.000000
simHit 65.866501 27.002277 21.908947 71.186508 0.303106 0.024696 0.000049 0.000000 0.000000 0.000000 0.000000
simHit 73.547668 29.756367 24.111095 79.339151 0.299406 0.038181 0.000076 0.000000 0.000000 0.000000 0.000000
simHit 82.483307 32.859604 26.659956 88.787665 0.295928 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
simHit 88.037819 34.735527 28.239799 94.642561 0.294125 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit 99.543839 38.492088 31.500080 106.726832 0.291021 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack 0.032584 -0.000368 -4.478474 -9.475797 -3.186837 -0.743523 1 pt=9.997333 trkIdx=0 algo=4
simHit -4.422188 -1.485744 -4.827968 4.665103 -0.905846 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit -7.136240 -2.380904 -5.041961 7.522940 -0.628092 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -9.878879 -3.275732 -5.257991 10.407817 -0.485855 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -22.845001 -7.372382 -6.260285 24.005126 -0.257920 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit -33.492146 -10.571008 -7.096330 35.120792 -0.200705 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit -38.825031 -12.119736 -7.492079 40.672731 -0.183178 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit -49.026413 -14.978301 -8.281797 51.263424 -0.160859 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit -56.028244 -16.864416 -8.840308 58.511304 -0.150518 0.022250 0.000056 0.000000 0.000000 0.000000 0.000000
simHit -65.152466 -19.228088 -9.545485 67.930576 -0.140060 0.011500 0.000024 0.000000 0.000000 0.000000 0.000000
simHit -76.284920 -21.966843 -10.405110 79.384704 -0.130700 0.015449 0.000034 0.000000 0.000000 0.000000 0.000000
simHit -82.334793 -23.389957 -10.874133 85.592688 -0.126706 0.014879 0.000033 0.000000 0.000000 0.000000 0.000000
simHit -91.145050 -25.382696 -11.553631 94.613431 -0.121813 0.014862 0.000033 0.000000 0.000000 0.000000 0.000000
simHit -103.019661 -27.917107 -12.468081 106.735258 -0.116549 0.014789 0.000033 0.000000 0.000000 0.000000 0.000000
simTrack 0.032423 0.001186 2.805641 -7.309588 -6.817431 -0.445790 1 pt=9.995372 trkIdx=0 algo=4
simHit -3.392011 -3.175603 2.597227 4.646525 0.533317 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit -5.509566 -5.123496 2.468817 7.523664 0.322520 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -7.299539 -6.760419 2.360637 9.949198 0.235097 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -17.552660 -15.964676 1.760183 23.726920 0.074117 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit -23.678011 -21.326632 1.297687 31.866494 0.040711 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit -30.377644 -27.083391 1.029100 40.697805 0.025284 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit -35.843914 -31.693645 0.612683 47.846351 0.012805 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit -46.851463 -40.746002 0.081538 62.091032 0.001313 0.022250 0.000056 0.000000 0.000000 0.000000 0.000000
simHit -53.918053 -46.403996 -0.313512 71.137101 -0.004407 0.011500 0.000024 0.000000 0.000000 0.000000 0.000000
simHit -60.331841 -51.432606 -0.668489 79.279530 -0.008432 0.015449 0.000034 0.000000 0.000000 0.000000 0.000000
simHit -65.357040 -55.306095 -0.947336 85.617211 -0.011065 0.014879 0.000033 0.000000 0.000000 0.000000 0.000000
simHit -75.099007 -62.648602 -1.478882 97.799326 -0.015121 0.014862 0.000033 0.000000 0.000000 0.000000 0.000000
simHit -84.910370 -69.831879 -2.009572 109.937538 -0.018278 0.014789 0.000033 0.000000 0.000000 0.000000 0.000000
simTrack 0.032788 -0.000227 -2.002724 -9.871035 1.646034 1.518748 1 pt=10.007335 trkIdx=0 algo=4
simHit -4.079009 0.695570 -1.369893 4.137889 -0.325294 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit -7.429905 1.277650 -0.853586 7.538957 -0.112983 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -10.254305 1.778188 -0.417511 10.407340 -0.040106 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -23.661428 4.282788 1.670880 24.045903 0.069431 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit -31.322186 5.813346 2.751395 31.857092 0.086260 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit -42.559872 8.179893 4.509178 43.338820 0.103858 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit -47.413193 9.253132 5.260912 48.307673 0.108690 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
