simTrack 0.001181 -0.001041 0.001408 -6.028579 7.982378 -2.452069 1 pt=10.003106 trkIdx=1 algo=4
simHit -77.753288 15.742209 -41.894859 79.330896 -0.506205 0.038181 0.000076 0.000000 0.000000 0.000000 0.000000
simHit -83.892487 16.675280 -45.181427 85.533702 -0.506317 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
simHit -96.122643 18.402493 -51.712318 97.868351 -0.506456 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit -107.529556 19.856575 -57.793095 109.347561 -0.506580 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack 0.000909 -0.000572 0.009916 1.611369 9.867512 -0.532626 -1 pt=9.998216 trkIdx=1 algo=4
simHit 0.669950 4.159489 -0.214422 4.213096 -0.050872 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit 1.110572 6.969805 -0.365730 7.057730 -0.051797 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 1.544917 9.799739 -0.517885 9.920769 -0.052178 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 3.484600 23.279440 -1.224776 23.538793 -0.052009 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit 4.581893 31.672291 -1.774262 32.001996 -0.055414 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit 5.531157 39.515430 -2.087863 39.900663 -0.052303 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit 6.758269 50.681587 -2.678123 51.130201 -0.052355 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit 7.776771 61.149200 -3.267205 61.641730 -0.052978 0.022250 0.000056 0.000000 0.000000 0.000000 0.000000
simHit 8.586629 70.633949 -3.777653 71.153953 -0.053066 0.011500 0.000024 0.000000 0.000000 0.000000 0.000000
simHit 9.204311 78.849640 -4.220847 79.385043 -0.053144 0.015449 0.000034 0.000000 0.000000 0.000000 0.000000
simHit 9.617684 85.038521 -4.555801 85.580663 -0.053209 0.014879 0.000033 0.000000 0.000000 0.000000 0.000000
