simTrack 0.029225 0.001571 2.869650 -0.621749 -0.781877 0.113876 1 pt=0.998951 trkIdx=0 algo=4
simHit 23.290800 3.985624 -3.595956 23.629358 -0.151600 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit 34.431877 8.380126 -7.955121 35.436996 -0.222642 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit 42.050407 12.486783 -11.081835 43.865208 -0.250021 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit 45.772102 14.863631 -12.639858 48.124972 -0.259717 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit 54.379284 21.429264 -16.549767 58.449293 -0.279494 0.022250 0.000056 0.000000 0.000000 0.000000 0.000000
simHit 63.183510 30.246075 -21.005169 70.049846 -0.295539 0.024696 0.000049 0.000000 0.000000 0.000000 0.000000
simHit 67.772408 36.035160 -23.646727 76.756967 -0.303397 0.038181 0.000076 0.000000 0.000000 0.000000 0.000000
simHit 74.510849 46.970505 -28.243969 88.080048 -0.315407 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
simHit 79.387306 58.191284 -32.561890 98.430534 -0.325056 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit 82.032959 67.272339 -35.904877 106.089462 -0.332291 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack 0.032321 0.000266 -4.956040 0.174151 0.979917 -0.118034 1 pt=0.995271 trkIdx=1 algo=4
simHit 0.858191 4.090947 -5.450109 4.179992 -1.080800 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit 1.539512 6.878664 -5.791524 7.048838 -0.749468 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 2.451496 10.119873 -6.191371 10.412572 -0.564194 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 7.399374 22.947475 -7.892694 24.110939 -0.321768 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit 13.188775 33.168201 -9.357359 35.694164 -0.259240 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit 17.934584 39.678757 -10.378912 43.543691 -0.236155 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit 23.149136 45.594425 -11.353518 51.134471 -0.220248 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit 28.848450 50.964554 -12.378653 58.562947 -0.209830 0.022250 0.000056 0.000000 0.000000 0.000000 0.000000
simHit 39.826721 58.952103 -14.188330 71.144347 -0.198131 0.011500 0.000024 0.000000 0.000000 0.000000 0.000000
simHit 44.586655 61.655548 -14.920601 76.087952 -0.194861 0.015449 0.000034 0.000000 0.000000 0.000000 0.000000
simHit 54.364079 66.040451 -16.369953 85.538262 -0.190226 0.014879 0.000033 0.000000 0.000000 0.000000 0.000000
simHit 68.339020 69.945099 -18.330139 97.788233 -0.186367 0.014862 0.000033 0.000000 0.000000 0.000000 0.000000
simHit 78.669998 71.238197 -19.738703 106.131284 -0.184928 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack 0.032157 0.002053 1.977857 -0.534116 0.841280 -0.183331 -1 pt=0.996510 trkIdx=1 algo=4
simHit -2.293234 3.477333 1.207953 4.165426 0.286077 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit -4.281830 6.187639 0.590508 7.524689 0.078396 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -5.764354 8.076998 0.150059 9.922987 0.015122 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -15.407243 18.244505 -2.415760 23.879805 -0.100992 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit -24.919239 25.637793 -4.619155 35.752830 -0.128840 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit -28.747181 28.088181 -5.424904 40.191371 -0.134570 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit -38.895649 33.342407 -7.533748 51.230729 -0.146530 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit -45.977600 36.080261 -8.976293 58.444204 -0.152990 0.022250 0.000056 0.000000 0.000000 0.000000 0.000000
simHit -59.257248 39.396038 -11.561627 71.158058 -0.161772 0.011500 0.000024 0.000000 0.000000 0.000000 0.000000
simHit -64.671471 40.132675 -12.584746 76.111962 -0.164601 0.015449 0.000034 0.000000 0.000000 0.000000 0.000000
simHit -79.021362 40.401299 -15.279718 88.750440 -0.171326 0.014879 0.000033 0.000000 0.000000 0.000000 0.000000
simHit -89.649406 39.043415 -17.284271 97.782434 -0.175855 0.014862 0.000033 0.000000 0.000000 0.000000 0.000000
simHit -103.463913 35.179985 -19.982168 109.281346 -0.181847 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack 0.036238 0.000309 4.776585 0.902511 0.443807 0.386748 1 pt=1.005728 trkIdx=0 algo=4
simHit 3.777679 1.732400 6.362639 4.155968 1.211817 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit 6.490245 2.855358 7.491512 7.090582 0.920797 0.021954 0.000040 0.000000 0.000000 0.000000 0.000000
simHit 9.586627 4.020471 8.771328 10.395557 0.766474 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 22.732578 7.568726 13.975784 23.959460 0.554460 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit 34.181992 8.962631 18.413137 35.337477 0.499973 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit 39.143913 9.097340 20.361460 40.187156 0.487166 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit 47.423325 8.688041 23.515156 48.212589 0.470218 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit 58.035389 7.051638 27.642965 58.462227 0.456783 0.034228 0.000077 0.000000 0.000000 0.000000 0.000000
simHit 67.810707 4.315583 31.463360 67.947894 0.447922 0.024696 0.000049 0.000000 0.000000 0.000000 0.000000
simHit 76.079124 0.985233 34.876690 76.085504 0.443687 0.038181 0.000076 0.000000 0.000000 0.000000 0.000000
simHit 87.904701 -5.576194 40.089859 88.081385 0.440738 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
simHit 97.554848 -13.067499 44.751026 98.426154 0.440301 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit 104.299095 -19.824659 48.422501 106.166465 0.441606 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack 0.033902 -0.002370 -0.515332 0.833641 -0.551403 -0.366233 -1 pt=0.999501 trkIdx=0 algo=4
simHit 3.923186 -2.430793 -2.194939 4.615208 -0.459271 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit 6.456911 -3.861817 -3.260526 7.523651 -0.420838 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 9.003467 -5.191248 -4.312932 10.392856 -0.403917 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 21.831137 -10.385832 -9.360656 24.175691 -0.378118 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit 29.418566 -12.409080 -12.236036 31.928628 -0.374421 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit 41.010365 -14.109276 -16.488152 43.369594 -0.371568 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit 46.030376 -14.336644 -18.352755 48.211357 -0.372031 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit 57.938347 -13.751165 -22.807484 59.547851 -0.374216 0.034228 0.000077 0.000000 0.000000 0.000000 0.000000
simHit 65.718315 -12.444510 -25.712507 66.886193 -0.375533 0.024696 0.000049 0.000000 0.000000 0.000000 0.000000
simHit 79.518318 -8.198259 -31.038401 79.939817 -0.379124 0.038181 0.000076 0.000000 0.000000 0.000000 0.000000
simHit 88.009407 -4.223235 -34.511414 88.110677 -0.382302 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
simHit 94.649818 -0.247566 -37.386623 94.650142 -0.385387 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit 109.261696 12.067880 -44.484760 109.926120 -0.394376 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack 0.031444 -0.000055 -2.124783 -0.965064 -0.225124 0.088645 1 pt=0.990974 trkIdx=0 algo=4
simHit -4.519522 -0.933514 -1.710265 4.614925 -0.362596 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit -6.947717 -1.327455 -1.489277 7.073395 -0.209021 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -9.789292 -1.692975 -1.227938 9.934607 -0.123289 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -23.833302 -2.084010 0.083926 23.924242 0.003508 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit -32.502781 -1.176986 0.794896 32.524084 0.024438 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit -39.940796 0.322562 1.598469 39.942098 0.040009 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit -48.111549 2.779893 2.295403 48.191794 0.047613 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit -59.190697 7.636920 3.491297 59.681330 0.058466 0.022250 0.000056 0.000000 0.000000 0.000000 0.000000
simHit -65.918396 11.569572 4.203764 66.926003 0.062771 0.011500 0.000024 0.000000 0.000000 0.000000 0.000000
simHit -77.291313 20.415777 5.493635 79.942173 0.068666 0.015449 0.000034 0.000000 0.000000 0.000000 0.000000
simHit -83.817322 27.150537 6.322142 88.105023 0.071695 0.014879 0.000033 0.000000 0.000000 0.000000 0.000000
simHit -89.067200 33.849312 7.074990 95.282433 0.074185 0.014862 0.000033 0.000000 0.000000 0.000000 0.000000
simHit -95.944191 45.458138 8.261627 106.168404 0.077738 0.014789 0.000033 0.000000 0.000000 0.000000 0.000000
simTrack 0.032399 0.000313 -3.680721 -0.969614 -0.228163 -0.111129 1 pt=0.996097 trkIdx=0 algo=4
simHit -4.517800 -0.943267 -4.198977 4.615221 -0.816141 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit -6.946134 -1.342771 -4.468713 7.074731 -0.595770 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -9.782880 -1.721390 -4.784839 9.933173 -0.464787 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -23.800411 -2.199429 -6.315454 23.901821 -0.261243 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit -35.777496 -0.814640 -7.686690 35.786770 -0.213173 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit -39.918877 0.069341 -8.147615 39.918937 -0.202713 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit -51.385818 3.668226 -9.511234 51.516582 -0.183592 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit -58.158188 6.668945 -10.353168 58.539300 -0.175949 0.022250 0.000056 0.000000 0.000000 0.000000 0.000000
simHit -66.991409 11.741071 -11.455782 68.012511 -0.167650 0.011500 0.000024 0.000000 0.000000 0.000000 0.000000
simHit -76.892891 19.291956 -12.830817 79.276076 -0.161151 0.015449 0.000034 0.000000 0.000000 0.000000 0.000000
